"id","gender","e","n","c","a","o","pa","na","ls","marriage"
1,"female",2.05,4.75,3.2,5,4.65,17,16,1.4,"married"
2,"male",1.3,5,2.75,3.2,1.8,17,25,1.4,"married"
3,"female",2.95,4.35,3.8,3.9,3.15,19,12,3,"divorced"
4,"male",1.5,4.85,3.35,2.85,4.6,10,25,1,"single"
5,"male",1.85,4.1,3.2,4.2,3.25,17,18,1,"married"
6,"male",1.4,3.9,4.45,4.45,2.85,24,32,1,"single"
7,"male",2.4,3.8,2.3,2.65,2.15,14,30,2,"divorced"
8,"female",2.1,3.2,3.35,4.4,3.7,12,16,1,"married"
9,"male",2.2,3.05,4.1,3.45,2.9,26,12,6,"married"
10,"female",2.3,3.55,1.85,3.9,4.4,25,12,2.4,"married"
11,"female",2.5,3.85,2.35,3.05,3.55,29,22,2.2,"single"
12,"male",NA,3.6,4.15,3.1,2.95,21,10,5.2,"married"
13,"female",2.65,3.95,3.05,3.65,3.65,26,13,3.2,"married"
14,"male",2,4.5,2.9,3.35,2.35,21,19,2,"single"
15,"female",3,3.05,2.75,3,3.2,26,26,7,"divorced"
16,"male",3,3.15,2.95,2.7,2.9,38,39,5,"married"
17,"female",3.45,1.85,4.25,4.5,2.95,32,10,5.2,"divorced"
18,"male",3.15,3,3.55,NA,3.25,42,23,5.4,"married"
19,"female",3.45,2.45,3.35,3.15,3.3,41,11,4,"single"
20,"male",3.2,3.1,3,2.9,2.8,38,24,4.2,"married"
21,"male",3.25,3.4,3.1,3.15,3.05,39,27,3.8,"married"
22,"female",2.9,3.85,3.3,3.45,4,29,24,4.2,"single"
23,"male",3,3,3,3,3,36,35,4.2,"single"
24,"female",3.3,2,3.9,3.95,3.65,32,10,4.8,"single"
25,"female",4.1,1.65,4.75,4.95,3.55,32,10,5,"divorced"
26,"male",3,2.65,3.3,3.65,2.8,29,19,4.4,"divorced"
27,"male",4.55,2.05,4.3,4,4.3,50,14,7,"single"
28,"female",4.1,2.25,4.3,3.85,4.2,48,12,5,"divorced"
29,"female",3.6,2.5,3.3,3.8,3.2,28,10,2.4,"married"
30,"female",2.8,3,2.15,3.8,4,34,12,2.6,"married"
31,"male",3.05,2.95,2.75,2.9,3.3,32,35,5,"divorced"
32,"male",3.15,3.05,2.95,2.9,3.1,24,12,4.8,"single"
33,"female",2.95,3.15,3.75,4.25,3.3,32,28,NA,"divorced"
34,"male",3.55,2.2,3.5,3.8,3.3,42,11,4.6,"married"
35,"female",3.15,3.05,3.35,3.9,3.75,23,13,5,"divorced"
36,"female",3.4,2,3.65,3.8,3.95,50,10,6.6,"married"
37,"female",4.15,3.4,4.55,4.2,2.8,21,10,6.2,"divorced"
38,"female",3.05,3.7,2.85,3.1,3.05,21,16,5.4,"single"
39,"male",3.2,2.95,3.25,2.95,3.2,15,11,4.4,"divorced"
40,"male",2.65,2.95,2.95,3.05,2.85,27,26,4,"married"
41,"male",3.3,3.3,3.1,3.3,3.4,35,24,2.6,"divorced"
42,"female",3.7,2.3,3.5,3.1,3.6,23,10,7,"single"
43,"male",1.85,3.65,2.2,2.4,1.9,10,33,2,"divorced"
44,"male",2.95,2.75,3.5,3.25,3.6,40,14,5.6,"single"
45,"male",1.15,2.95,2.4,3.05,3,22,18,2.8,"married"
46,"female",2.45,1.95,4.9,4.95,4.7,30,10,6,"single"
47,"female",2.55,3,3.1,4.55,3.7,23,14,4.8,"married"
48,"female",2.1,4.8,3.15,3.7,4.25,24,38,1.2,"married"
49,"female",3.55,2.65,3.35,3.7,3.65,37,10,4.6,"divorced"
50,"female",3.1,2.1,3.25,4.45,3.8,35,12,4,"divorced"
51,NA,2.2,3.3,3.45,4.25,3.7,23,14,4,"single"
52,"male",2.55,3.6,2.45,2.55,2.95,28,25,3.2,"single"
53,"male",3.6,2.4,3.75,4.25,4.25,32,14,3.4,"divorced"
54,"male",3.6,2.4,3.75,3.6,3.2,45,18,6,"married"
55,"male",2.9,3,3.7,NA,2.35,33,12,3.8,"divorced"
56,"female",3.7,3.8,3.5,3.5,4.05,32,14,5,"single"
57,"male",2.85,2.75,3.4,4.2,4,37,12,5.6,"divorced"
58,"female",2.75,2.2,2.75,4.5,3.25,27,13,5,"married"
59,"male",3.2,1.6,3.75,4.15,3.1,34,15,4.6,"single"
60,"female",3.4,2.75,3.65,3.4,4.05,28,13,4,"married"
61,"male",2.35,3.55,3.4,2.85,3.05,22,13,3,"married"
62,"male",2.9,2.35,3.15,3.25,3.4,31,12,6,"single"
63,"female",1.25,3.7,4.4,3.45,3.6,26,10,6,"single"
64,"male",3.35,3.35,3,3.15,3.15,34,22,6,"single"
65,"male",2.7,2.7,2.9,3.5,3.15,16,14,1.8,"divorced"
66,"female",4.2,2.6,3.9,4.4,3.65,35,15,5,"married"
67,"female",2.7,3.25,2.8,4.05,3.45,28,13,5.8,"single"
68,"female",2.35,2.9,4.35,NA,3.55,22,14,2.8,"single"
69,"male",3.55,2.65,3.05,3.55,4,30,20,2,"married"
70,"male",3.7,2.35,3.7,3.4,4,38,17,4.4,"divorced"
71,"male",3.65,2.65,4.1,4.45,3.6,31,10,5.2,"divorced"
72,"female",3.15,3.5,3.45,3.55,3.05,25,10,5.2,"single"
73,"female",2.95,3.1,3.1,2.85,2.95,27,28,5.4,"married"
74,"female",NA,2.8,4.7,4.5,4.25,46,15,5.6,"married"
75,"female",2.95,3.25,2.6,3.1,3.55,24,16,5.2,"single"
76,NA,2.7,3.25,3.45,4,4.35,29,21,2.4,"divorced"
77,"female",3.6,2.3,3.9,3.1,3.55,26,12,6,"married"
78,"male",3.75,3.35,3.3,4.15,4.15,25,27,4.4,"married"
79,"female",3.4,3.55,3.5,3.6,3.4,37,17,5.2,"divorced"
80,"female",2.3,3.05,2.75,4.3,4.7,28,17,1.2,"married"
81,"male",3.35,2.75,3.15,3.15,3.4,30,12,4.6,"single"
82,"female",2.75,2.35,3.2,4.05,3.75,21,10,2.8,"divorced"
83,"female",2.35,2.85,3.5,4.2,3.7,23,14,4.4,"divorced"
84,"female",2.4,3.25,2.6,3.7,3.5,22,21,2.8,"divorced"
85,"female",NA,3.1,4.1,4.45,3.85,29,12,3,"single"
86,"male",2.55,2.25,2.95,3.4,3.35,19,11,4.4,"divorced"
87,"female",2.45,3.25,2.6,NA,3.6,21,20,2.8,"single"
88,"female",3.8,2.65,3.4,3.95,3.8,23,10,6.6,"single"
89,"male",3.25,2.6,3.5,3.95,4.75,24,18,1.2,"divorced"
90,"female",3.75,2.25,4.15,4.15,3.85,40,10,5.8,"single"
91,"male",2.2,2.1,4.2,5,4.8,24,12,7,"single"
92,"female",4,2.35,3.95,4.7,4.3,35,17,5.6,"married"
93,"female",4,3.05,3.75,4,3.6,33,18,5.4,"divorced"
94,"female",3,2.1,2.95,4.5,3.7,21,11,6,"married"
95,"female",3.6,2.3,3.5,3.7,3.2,26,10,3,"single"
96,"male",3.8,2.35,4.05,4.3,3.9,32,11,5.2,"single"
97,"male",2.65,2.5,3.3,3.35,3.45,25,10,4.2,"married"
98,"female",3.85,2.3,3.75,3.55,3.85,32,10,5.4,"married"
99,"female",3.3,3.05,3.7,3.6,3.35,38,20,4.8,"single"
100,"female",3.25,3.4,3.6,4.35,3.95,29,15,4.8,"married"
101,"male",3.25,3.05,3,2.9,3,36,32,4.8,"single"
102,"female",2.2,2.1,3.7,3.85,4.3,16,11,5.8,"married"
103,"male",3.8,2.25,4,4.3,3.85,37,16,5.2,"married"
104,"female",3.35,3.2,3.2,3.55,4.45,39,18,5.8,"divorced"
105,"male",3.25,1.9,3.7,3.95,4.4,15,10,5,"single"
106,"male",2.95,3.15,2.55,3.8,4.3,32,11,7,"single"
107,"male",3.7,4.35,3.8,4.5,3.25,35,10,2.4,"married"
108,"male",3.55,2.05,3.55,3.15,3.6,30,10,6,"divorced"
109,"male",3.95,2.05,3.85,3.95,4,40,10,5.6,"single"
110,"male",3.25,2.9,3.75,3.8,3.95,40,25,6,"married"
111,"male",3.3,2.45,3.6,2.55,3.6,10,10,2.8,"married"
112,"male",3.4,2.05,3.45,3.9,4.05,38,16,5.4,"single"
113,"male",3.6,2.3,3.45,2.75,3.8,50,10,7,"married"
114,"male",3.3,2.95,3.75,3.65,3.95,24,11,5,"single"
115,"female",3.5,2.75,3.5,NA,4.2,28,10,1.8,"single"
116,"male",3.7,1.3,4.25,4.35,4.5,34,11,5.8,"married"
117,"male",3.5,1.75,3.45,3.8,4.4,34,11,5.8,"married"
118,"male",3.15,2.6,3.15,3.5,3.7,13,10,3.2,"married"
119,"female",3.85,3.5,3.65,3.4,4.1,27,12,5.8,"single"
120,"male",3.6,2.05,3.1,3.95,3.95,30,10,4.2,"single"
121,"male",3.75,1.55,4.15,3.95,3,38,10,6.2,"single"
122,"male",2.65,2.6,2.8,4.05,3.4,26,17,1.2,"single"
123,"male",3.05,3.25,3.55,3.55,3.95,24,27,3,"single"
124,"female",3.6,2.45,3.15,3.05,3.45,25,10,5.2,"single"
125,"female",3.75,2.2,3.05,4.05,4.2,37,10,5.8,"divorced"
126,"male",3.35,2.45,3.5,3.7,3.95,42,15,5.4,"married"
127,"female",3.9,1.25,4.35,4.55,3.2,41,11,6,"single"
128,"male",3.45,1.85,3.8,3.95,3.7,38,10,3.2,"single"
129,"female",3.4,3.55,3.25,3.15,4.9,26,19,3.2,"single"
130,"male",3,3.25,3.4,2.95,4.1,27,17,3.4,"divorced"
131,"male",4,1.55,2.85,3.95,4.05,21,10,4.2,"divorced"
132,"female",3.5,2.15,4.05,3.7,3.65,28,12,4.6,"married"
133,"female",3.05,2.95,3.1,3.1,3.1,31,10,5,"divorced"
134,"female",3.45,2.25,3.15,3.85,3.75,22,10,4.8,"divorced"
135,"male",3.6,2.4,3.6,3.8,3.85,33,19,6,"single"
136,"female",3.85,1.85,3.3,4.2,4.05,36,11,5,"married"
137,"male",3.35,1.55,4.15,4.15,4.2,39,10,6,"single"
138,"male",2.9,2.75,3.8,3.5,3.8,29,12,4.6,"married"
139,"female",3.75,2.7,3.95,4.1,4.1,36,11,3.6,"single"
140,"female",3.85,2.1,3.7,3.8,3.8,37,10,5.2,"divorced"
141,"male",3.6,2.15,3.6,3.5,3.8,17,11,4.6,"divorced"
142,"female",2.9,2,3.8,3.35,3,30,10,6,"married"
143,"male",2.8,1.35,4.6,4.75,3.35,37,10,6.8,"divorced"
144,"male",2.7,3.35,3,2.8,4.1,29,22,3.2,"single"
145,"male",3.25,2.9,2.4,3.6,3.35,27,10,2.2,"single"
146,"male",3.65,1.55,3.75,1.7,3.15,36,11,4.6,"single"
147,"male",3.9,2.5,3.05,3.65,3.95,35,13,4.2,"divorced"
148,"male",1.3,4.6,2.7,3.4,4,18,46,1,"divorced"
149,"female",3.7,2.1,3.3,4.1,3.65,18,10,6,"married"
150,"male",3.85,1.7,3.85,3.95,3.6,36,11,4.6,"married"
151,"female",2.95,2.85,3.2,4.25,3.7,29,12,5.2,"divorced"
152,"male",4.3,2,4.15,4.6,3.35,40,11,5.6,"divorced"
153,"male",4.3,2,3.6,3.95,4.05,48,19,7,"divorced"
154,"female",2.7,2,3.7,4,3.4,38,10,6,"married"
155,"male",2.7,2.7,3.4,4.1,3.7,24,17,2.2,"single"
156,"female",3.1,2.7,3.2,3.85,3.35,20,10,1.8,"divorced"
157,"female",3.7,2.95,1.8,4.35,4.75,27,11,2,"single"
158,"male",NA,2.05,3.9,3.95,4.45,41,13,6,"divorced"
159,"female",3.15,2.25,1.65,3.9,4.8,27,14,NA,"married"
160,"male",3.65,2.75,3.35,4.2,4.4,31,16,3.6,"divorced"
161,"female",3.2,2.35,4.5,3.75,3.85,37,18,5.4,"divorced"
162,"male",3.15,2.05,3.65,4.15,3.8,25,10,3.8,"married"
163,"male",3.05,2.35,3.8,3.35,4.15,28,13,4.6,"single"
164,"female",1.7,4,2.2,2.7,4.15,25,10,3,"single"
165,"male",2.75,1.25,3.65,3,3.15,27,10,6,"married"
166,"male",3.7,3.6,3.75,3.55,4.85,35,19,4.8,"married"
167,"female",3.45,2.3,3.75,3.05,4,32,12,3.6,"single"
168,"female",4.4,1.8,4.4,3.85,4.85,50,14,6.4,"married"
169,"female",4,1.95,3.05,4.15,4.45,41,25,5.6,"single"
170,"male",3.9,1.95,2.7,4.1,4.1,32,18,2.4,"divorced"
171,"female",4.1,2.6,4.05,3.8,3.95,40,11,7,"married"
172,"male",4.6,1.3,4.2,4.35,4.15,40,10,6,"single"
173,"female",3.45,2.45,3.55,3.65,3.85,12,10,5.8,"divorced"
174,"male",4.35,1.15,4.9,NA,4.3,38,10,7,"single"
175,"male",3.2,2.25,3.65,3.1,4.35,36,10,3,"divorced"
176,"male",2.8,2.25,3.15,3.55,3.75,24,11,4.6,"married"
177,"female",3.7,2.95,4.25,3.65,4.3,36,16,6.2,"single"
178,"female",4.35,3.9,4.6,3.65,4.25,30,16,5.4,"divorced"
179,"male",3.55,2.25,3.75,4.55,3.65,22,12,1,"single"
180,"female",3.15,3.55,3.7,4,4.4,23,25,4.6,"married"
181,"male",4.05,2.2,3.65,4,3.5,36,13,6,"single"
182,"female",3.7,1.1,4.55,5,3.3,44,10,5.2,"single"
183,"male",4.25,2.65,3.75,3.1,3.65,43,23,5.6,"single"
184,NA,3.15,2.8,4,2.45,3.25,37,16,6,"divorced"
185,"female",3.2,1.75,3.55,4.6,4.15,29,10,6,"single"
186,"female",4.3,1,4.6,4.7,4.55,50,10,4.4,"divorced"
187,"male",4.05,1.75,3.95,4,4.3,49,10,4.4,"single"
188,"male",3.95,3.5,4.05,3.85,3.2,35,15,1,"single"
189,"male",3.15,2.75,2.7,3.55,3.9,25,16,1.2,"married"
190,"female",4.3,1.5,4.2,4.4,4.1,40,10,5.4,"married"
191,"male",3.9,1.35,4.35,NA,4.35,28,11,4.2,"divorced"
192,"female",NA,4,2.45,2.4,3.3,12,21,2.2,"married"
193,"female",4.45,1.05,4.8,5,4.7,48,10,6.8,"divorced"
194,"male",3.85,1.45,3.95,2.9,4.15,34,12,2.4,"married"
195,"female",3.8,2.1,4.45,2.95,3.55,38,10,7,"divorced"
196,"female",4.75,1.15,4.45,4.4,5,50,10,6.4,"divorced"
197,"male",3.9,1.65,4.75,4,4.3,48,10,6.2,"married"
198,"male",4.15,2.85,3.65,3.85,4.6,35,11,4.8,"married"
199,"female",4.45,2.7,4.7,4.85,5,34,22,1.8,"divorced"
200,"female",4,1.35,4.75,4.7,4.85,35,10,6.2,"married"
201,"male",2.6,4.4,2.25,2.75,2.05,21,24,1,"married"
202,"female",4.05,2.75,2.4,NA,3.1,33,10,2.4,"divorced"
203,"male",4.8,1.2,4.3,4.75,4.75,36,10,4.4,"single"
204,"female",4.3,2.2,3.85,4.75,4.8,49,10,6.2,"divorced"
205,"male",3.4,1.35,4.1,3.45,3.35,36,12,6.6,"married"
